FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
;;;;t;FJ;TOTAL I;FA + FB + FC + FD + FE + FF + FG + FH;951;672;138;26;formuleN;;;;;;;;
;;;;t;FK;Provisions pour risques et charges (TOTAL II);Solde Crédit-Débit de : 15 à 159;981;672;138;26;compteN;15;159;;solde_credit;f;f;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;4552;456;;solde_credit;f;f;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;45;4550;;solde_credit;f;t;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;458;459;;solde_credit;f;t;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;426;426;;solde_credit;f;t;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;512;519;;solde_credit;f;t;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;16;168;;solde_credit;f;f;f;
;;;;t;FL;Emprunts et dettes assimilées;Solde Crédit-Débit de : 16 à 168 17 426 45 à 4550 4552 à 456 458 à 459 512 à 519;1012;672;138;26;compteN;17;17;;solde_credit;f;f;f;
;;;;t;FM;Avances et acomptes reçus sur commandes en cours;Solde Crédit-Débit de : 41 à 418 419 à 4191;1041;672;138;26;compteN;41;418;;solde_credit;f;t;f;
;;;;t;FM;Avances et acomptes reçus sur commandes en cours;Solde Crédit-Débit de : 41 à 418 419 à 4191;1041;672;138;26;compteN;419;4191;;solde_credit;f;f;f;
;;;;t;FN;Fournisseurs et comptes rattachés;Solde Crédit-Débit de : 4 à 4089;1072;672;138;26;compteN;4;4089;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;43;43;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;4551;4551;;solde_credit;f;f;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;269;269;;solde_credit;f;f;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;279;279;;solde_credit;f;f;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;4192;4199;;solde_credit;f;f;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;42;42;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;44;44;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;457;457;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;46;46;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;471;475;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;477;479;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;509;509;;solde_credit;f;f;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;520;529;;solde_credit;f;t;f;
;;;;t;FP;Autres dettes;Solde Crédit-Débit de :;1102;672;138;26;compteN;58;58;;solde_credit;f;t;f;
;;;;t;FQ;TOTAL IV Produits constatés d'avance;Solde Crédit-Débit de : 487;1133;672;138;26;compteN;487;487;;solde_credit;f;f;f;
;;;;t;FR;TOTAL III;FL + FM + FN +FP + FQ;1163;672;138;26;formuleN;;;;;;;;
;;;;t;FS;TOTAL GENERAL (I + II + III + IV);FJ + FK + FR + FQ;1193;672;138;26;formuleN;;;;;;;;
;;;;t;GA;Capital social ou individuel;FA;707;815;140;26;formuleN1;;;;;;;;
;;;;t;GB;Ecarts de réévaluation;FB;737;815;140;26;formuleN1;;;;;;;;
;;;;t;GC;Réserve légale;FC;768;815;140;26;formuleN1;;;;;;;;
;;;;t;GD;Réserves réglementées;FD;798;815;140;26;formuleN1;;;;;;;;
;;;;t;GE;Autres réserves;FE;829;815;140;26;formuleN1;;;;;;;;
;;;;t;GF;Report à nouveau;FF;859;815;140;26;formuleN1;;;;;;;;
;;;;t;GG;Résultat de l'exercice;DR - GA - GB - GC - GD - GE - GF - GH - GK - GR;890;815;140;26;formuleN1;;;;;;;;
;;;;t;GH;Provisions réglementées;FH;920;815;140;26;formuleN1;;;;;;;;
;;;;t;GJ;TOTAL I;GA + GB + GC + GD + GE + GF + GG + GH;951;815;140;26;formuleN1;;;;;;;;
;;;;t;GK;Provisions pour risques et charges (TOTAL II);FK;981;815;140;26;formuleN1;;;;;;;;
;;;;t;GL;Emprunts et dettes assimilées;FL;1012;815;140;26;formuleN1;;;;;;;;
;;;;t;GM;Avances et acomptes reçus sur commandes en cours;FM;1041;815;140;26;formuleN1;;;;;;;;
;;;;t;GN;Fournisseurs et comptes rattachés;FN;1072;815;140;26;formuleN1;;;;;;;;
;;;;t;GP;Autres dettes;FP;1102;815;140;26;formuleN1;;;;;;;;
;;;;t;GQ;TOTAL IV Produits constatés d'avance;FQ;1133;815;140;26;formuleN1;;;;;;;;
;;;;t;GR;TOTAL III;GL + GM + GN +GP + GQ;1163;815;140;26;formuleN1;;;;;;;;
;;;;t;GS;TOTAL GENERAL (I + II + III + IV);GJ + GK + GR + GQ;1193;815;140;26;formuleN1;;;;;;;;
