FormDesc;FormDoc;FormWidth;FormHeight;FormDisp;Code;CodeDisp;CodeTitle;CodeTop;CodeLeft;CodeWidth;CodeHeight;CodeExercice;CompteMini;CompteMaxi;CompteJournal;CompteType;CompteSideb;CompteSicre;CompteSoustraire;
;;;;t;CT;Total des charges (II + V + VI + VII);BV + BZ + CA + CB;;;;;formuleN1;;;;;;;;
;;;;t;CU;TOTAL GENERAL CHARGE;CT + CC1;;;;;formuleN;;;;;;;;
;;;;t;CV;TOTAL GENERAL PRODUIT;CS - CC2;;;;;formuleN;;;;;;;;
;;;;t;DA;Ventes de marchandises;BA;;;;;formuleN1;;;;;;;;
;;;;t;DB;Production vendue;BB;;;;;formuleN1;;;;;;;;
;;;;t;DC;Production vendue services;BC;;;;;formuleN1;;;;;;;;
;;;;t;DD;Production stockée;BD;;;;;formuleN1;;;;;;;;
;;;;t;DE;Production immobilisée;BE;;;;;formuleN1;;;;;;;;
;;;;t;DF;Subventions d'exploitation reçues;BF;;;;;formuleN1;;;;;;;;
;;;;t;DG;Autres produits;BG;;;;;formuleN1;;;;;;;;
;;;;t;DH;Total des produits d'exploitation hors TVA (I);DA + DB + DC +DD + DE +DF +DG;;;;;formuleN1;;;;;;;;
;;;;t;DJ;Achats de marchandises (y compris droits de douane);BJ;;;;;formuleN1;;;;;;;;
;;;;t;DK;Variation de stock (marchandises);BK;;;;;formuleN1;;;;;;;;
;;;;t;DL;Achats de matières premières et autres approvisionnements (y compris droits de douane);BL;;;;;formuleN1;;;;;;;;
;;;;t;DM;Variation de stock (matières premières et approvisionnements);BM;;;;;formuleN1;;;;;;;;
;;;;t;DN;Autres charges externes;BN;;;;;formuleN1;;;;;;;;
;;;;t;DP;Impôts, taxes et versements assimilés;BP;;;;;formuleN1;;;;;;;;
;;;;t;DQ;Rémunérations du personnel;BQ;;;;;formuleN1;;;;;;;;
;;;;t;DR;Charges sociales;BR;;;;;formuleN1;;;;;;;;
;;;;t;DS;Dotations aux amortissements;BS;;;;;formuleN1;;;;;;;;
;;;;t;DT;Dotations aux provisions;BT;;;;;formuleN1;;;;;;;;
;;;;t;DU;Autres charges;BU;;;;;formuleN1;;;;;;;;
;;;;t;DV;Total des charges d'exploitation (II);DJ + DK + DL + DM + DN + DP + DQ + DR + DS + DT + DU;;;;;formuleN1;;;;;;;;
;;;;t;DW;Résultat d'exploitation (I - II) ;DH - DV;;;;;formuleN1;;;;;;;;
;;;;t;DW1;Résultat d'exploitation (I - II) excedent;si DW sup 0 alors DW;;;;;formuleN1;;;;;;;;
;;;;t;DW2;Résultat d'exploitation (II - I) perte;si DW inf 0 alors DW;;;;;formuleN1;;;;;;;;
;;;;t;DX;Produits financiers (III);BX;;;;;formuleN1;;;;;;;;
;;;;t;DY;Produits exceptionnels (IV);BY;;;;;formuleN1;;;;;;;;
;;;;t;DZ;Charges financières (V);BZ;;;;;formuleN1;;;;;;;;
;;;;t;EA;Charges exceptionnelles (VI);CA;;;;;formuleN1;;;;;;;;
;;;;t;EB;Impôts sur les bénéfices (VII);CB;;;;;formuleN1;;;;;;;;
;;;;t;EC;Bénéfice ou perte : produits (I + III + IV) - charges (II + V + VI + VII);DH + DX + DY - DV - DZ - EA - EB;;;;;formuleN1;;;;;;;;
;;;;t;EC1;Bénéfice : produits (I + III + IV) - charges (II + V + VI + VII);si EC sup 0 alors EC;;;;;formuleN1;;;;;;;;
;;;;t;EC2;Perte : produits (I + III + IV) - charges (II + V + VI + VII);si EC inf 0 alors EC;;;;;formuleN1;;;;;;;;
;;;;t;ED;RESULTAT FISCAL (perte :);si CC inf 0 alors CC;;;;;formuleN;;;;;;;;
;;;;t;EM;Résultat fiscal avant imputation des déficits antérieurs (perte :);si CC inf 0 alors CC;;;;;formuleN;;;;;;;;
;;;;t;EP;Résultat financier (III - V);DX - DZ;;;;;formuleN1;;;;;;;;
;;;;t;EP1;Résultat financier (III - V) excedent;si EP sup 0 alors EP;;;;;formuleN1;;;;;;;;
;;;;t;EP2;Résultat financier (III - V) perte;si EP inf 0 alors EP;;;;;formuleN1;;;;;;;;
;;;;t;EQ;Résultat courant avant impôts ( I + III - II - V);DW + EP;;;;;formuleN1;;;;;;;;
;;;;t;EQ1;Résultat courant avant impôts ( I + III - II - V) excedent;si EQ sup 0 alors EQ;;;;;formuleN1;;;;;;;;
;;;;t;EQ2;Résultat courant avant impôts ( I + III - II - V) perte;si EQ inf 0 alors EQ;;;;;formuleN1;;;;;;;;
;;;;t;ER;Résultat exceptionnel;DY - EA;;;;;formuleN1;;;;;;;;
;;;;t;ER1;Résultat exceptionnel excedent;si ER sup 0 alors ER;;;;;formuleN1;;;;;;;;
;;;;t;ER2;Résultat exceptionnel perte;si ER inf 0 alors ER;;;;;formuleN1;;;;;;;;
;;;;t;ES;Total des produits (I + III + IV);DH + DX + DY;;;;;formuleN;;;;;;;;
;;;;t;ET;Total des charges (II + V + VI + VII);DV + DZ + EA + EB;;;;;formuleN1;;;;;;;;
;;;;t;EU;TOTAL GENERAL CHARGE;ET + EC1;;;;;formuleN1;;;;;;;;
;;;;t;EV;TOTAL GENERAL PRODUIT;ES - EC2;;;;;formuleN1;;;;;;;;
;;;;t;GN;Autres charges externes (dont crédit-bail mobilier :);Solde Débit-Crédit de : 6122;;;;;compteN;6122;6122;;solde_debit;f;f;f;
